TV,Sales
230.1,22.1
44.5,10.4
17.2,9.3
151.5,18.5
180.8,12.9
8.7,7.2
57.5,11.8
120.2,13.2
8.6,4.8
199.8,10.6
66.1,8.6
214.7,17.4
23.8,9.2
97.5,9.7
204.1,19
195.4,22.4
67.8,12.5
281.4,24.4
69.2,11.3
147.3,14.6
218.4,18
237.4,12.5
13.2,5.6
228.3,15.5
62.3,9.7
262.9,12
142.9,15
240.1,15.9
248.8,18.9
70.6,10.5
292.9,21.4
112.9,11.9
97.2,9.6
265.6,17.4
95.7,9.5
290.7,12.8
266.9,25.4
74.7,14.7
43.1,10.1
228,21.5
202.5,16.6
177,17.1
293.6,20.7
206.9,12.9
25.1,8.5
175.1,14.9
89.7,10.6
239.9,23.2
227.2,14.8
66.9,9.7
199.8,11.4
100.4,10.7
216.4,22.6
182.6,21.2
262.7,20.2
198.9,23.7
7.3,5.5
136.2,13.2
210.8,23.8
210.7,18.4
53.5,8.1
261.3,24.2
239.3,15.7
102.7,14
131.1,18
69,9.3
31.5,9.5
139.3,13.4
237.4,18.9
216.8,22.3
199.1,18.3
109.8,12.4
26.8,8.8
129.4,11
213.4,17
16.9,8.7
27.5,6.9
120.5,14.2
5.4,5.3
116,11
76.4,11.8
239.8,12.3
75.3,11.3
68.4,13.6
213.5,21.7
193.2,15.2
76.3,12
110.7,16
88.3,12.9
109.8,16.7
134.3,11.2
28.6,7.3
217.7,19.4
250.9,22.2
107.4,11.5
163.3,16.9
197.6,11.7
184.9,15.5
289.7,25.4
